,predict,grouth_True,class_id
988,Saigon Co.op,Saigon Co.op,SELLER
989,Co.0p Food HN The K-PARK,Co.op Food HN THE K-PARK,SELLER
990,"Tang 1, SH?2 Toa Kỹ, Cong 1, 11 - chung cu","Tang 1, SH42 - Toa K3, Cong trinh chung cu",ADDRESS
991,ket hop dich vu tren o dat hoi chung c,ket hop dich vu tren o dat H-CT2 thuoc,ADDRESS
992,"Du an Dau tu nay dung khuat Hoi, thien",Da an Dau tu xay dung Khu nha o Hi Brand,ADDRESS
993,"tai Khu do thi noi van phu,","tai khu do thi moi Van Phu,",ADDRESS
994,"P. Phu la, D. Ha Dong, Phu Phuoi","P. Phu La, Q. Ha Dong, Tp Ha Moi",ADDRESS
995,Ngay: 19/09/2019,Ngày: 19/09/2019,TIMESTAMP
996,18:13:48,18:13:48,TIMESTAMP
997,Tong so tien thanh toan:,Tong so tien thanh toan:,TOTAL_COST
998,"32,200.00","32,200.00",TOTAL_COST
999,MINIMART ANAN,MINIMART ANAN,SELLER
1000,Chợ Sủi Phú Thị Gia Làm,Chợ Sủi Phú Thị Gia Lâm,ADDRESS
1001,Ngày: 10/08/2020.09:36,Ngày: 10/08/2020 - 09:36,TIMESTAMP
1002,Tổng cộng,Tổng cộng,TOTAL_COST
1003,"77,000","77,000",TOTAL_COST
1004,MINIMART ANAN,MINIMART ANAN,SELLER
1005,Chợ Sủi Phú Thị Gia Lâm,Chợ Sủi Phú Thị Gia Lâm,ADDRESS
1006,Ngày: 17/08/2020-14:33,Ngày : 17/08/2020 14:33,TIMESTAMP
1007,Tổng cộng,Tổng cộng cộng,TOTAL_COST
1008,"101,000","101,000",TOTAL_COST
1009,Vincommerce,VinCommerce,SELLER
1010,VM% QNH 86 Trần Phú Lê,VM + QNH 86 Trần Phú,ADDRESS
1011,"Số 36 Đường Trần Phú, P. Cầm Tây","Số 86 Đường Trần Phú, P. Cẩm Tây",ADDRESS
1012,"TP Cầm Phà, T. Quảng Ninh,","TP Cẩm Phả, T.Quảng Ninh",ADDRESS
1013,Ngày bán:09/08/2020 13:28,Ngày bán: 09/08/2020 13:28,TIMESTAMP
1014,TỜNG TIẾN PHẢI T. TOÁN,TỔNG TIỀN PHẢI T.TOÁN,TOTAL_COST
1015,41.500,41.500,TOTAL_COST
1016,NHÀ SÁCH GD-TC CẨM PHẢ,NHÀ SÁCH GD-TC CẨM PHẢ,SELLER
1017,Thời gian:15:07:21 - 14/08/2020,Thời gian: 15:07 21 - 14/08/2020,TIMESTAMP
1018,"Đc, 212 Đường Trần Phú-Cẩm Phả",ĐC: 212 Đường Trần Phú - Cẩm Phả,ADDRESS
1019,Tổng số thanh toán:,Tổng số thanh toán:,TOTAL_COST
1020,97.000d,97.000đ,TOTAL_COST
1021,Vincommerce,VinCommerce,SELLER
1022,Vũ Chí 16 Trăn Phủ,VM+ QNH 86 Trần Phú,ADDRESS
1023,"Số N Đường Trên M, P. Cần Tây","Số 86 Đường Trần Phú, P.Cẩm Tây",ADDRESS
1024,TF Cần Phá T. Quảng Nim,"TP. Cẩm Phả, T.Quảng Ninh",ADDRESS
1025,Ngày bán:09/08/2020 13:05,Ngày bán: 09/08/2020 13:05,TIMESTAMP
1026,TIẾN PHẢI T.TOÁN,TỔNG TIỀN PHẢI T.TOÁN,TOTAL_COST
1027,13.000,13.000,TOTAL_COST
1028,MINIMART ANAN,MINIMART ANAN,SELLER
1029,Chợ Sủi Phú Thị Gia Lâm,Chợ Sủi Phú Thị Gia Lâm,ADDRESS
1030,Mehnimoonmonomacmatic,Ngày: 12/09/2020 16:02,TIMESTAMP
1031,Tổng tiền:,Tổng tiền :,TOTAL_COST
1032,"110,000","110,000",TOTAL_COST
1033,Phúc Anh Minimart,Phúc Anh Minimart,SELLER
1034,248 Cồ Bị - Gia Lâm - Hà Nội,248 Cổ Bi - Gia Lâm - Hà Nội,ADDRESS
1035,Ngày: 14-08-2020,Ngày : 14-08-2020,TIMESTAMP
1036,Khách phải trả,Khách phải trả,TOTAL_COST
1037,Vincommerce,VinCommerce,SELLER
1038,"Số 112 Thanh Niên, P. Cầm Thành",Số 112 Thanh Niên. P. Cẩm Thanh,ADDRESS
1039,"TP. Càm Phả, Quảng Ninh","TP. Cẩm Phả, Quảng Ninh",ADDRESS
1040,Ngày bán: 14/08/2020 08:44,Ngày bán: 14/08/2020 08:44,TIMESTAMP
1041,TỔNG TIẾN PHẢI T. TOÁN,TỔNG TIỀN PHẢI T.TOÁN,TOTAL_COST
1042,191.084,191.084,TOTAL_COST
1043,CỬA HÀNG NĂM OÁNH,CỬA HÀNG NĂM OÁNH,SELLER
1044,"Thôn Phi Thuỳ, Xa Hàng Năm Oán Lâm, TP Ha Nội","Thôn Phú Thuỵ, xã Phú Thị, Huyện Gia Lâm, TP Hà Nội",ADDRESS
1045,Ngày: 11-08-2020,Ngày: 11-08-2020,TIMESTAMP
1046,Cộng tiền hàng,Cộng tiền hàng,TOTAL_COST
1047,"131,000","131,000",TOTAL_COST
1048,18 NGÀY KINH DOAN 1: 14/08/2020,NGÀY KINH DOANH: 14/08/2020,TIMESTAMP
1049,Tổng thanh toán,Hồng thanh toán,TOTAL_COST
1050,9.220.282,9.220.282,TOTAL_COST
1051,MINIMARTANAN,MINIMART ANAN,SELLER
1052,Chợ Sủi Phú Thị Gia Lâm,Chợ Sủi Phú Thị Gia Lâm,ADDRESS
1053,Ngày: 13/08/2020-02:53,Ngày : 13/08/2020 - 02:53,TIMESTAMP
1054,Tổng tiền,Tổng tiền :,TOTAL_COST
1055,"243,000","243,000",TOTAL_COST
1056,MINIMART ANAN,MINIMART ANAN,SELLER
1057,Chợ Sủi Phú Thị Gia Lâm,Chợ Sủi Phú Thị Gia Lâm,ADDRESS
1058,Ngày: 13/08/2020-16:52,Ngày: 13/08/2020 - 16:52,TIMESTAMP
1059,Tổng cộng:,Tổng cộng :,TOTAL_COST
1060,"229,000","229,000",TOTAL_COST
1061,THE COFFEE HOUSE,THE COFFEE HOUSE,SELLER
1062,"403 Phan Huy Ích, P.14, Q. Gò Văp","403 Phan Huy Ích, P.14, Q. Gò Vấp",ADDRESS
1063,10 Thời gian:01.10.2020 08.58,Thời gian : 01.10.2020 08.58,TIMESTAMP
1064,Thanh Toán,Thanh Toán:,TOTAL_COST
1065,50 000,50000,TOTAL_COST
1066,Thanh,Thanh,SELLER
1067,Xuân,Xuân,SELLER
1068,"244/23a Huỳnh Văn Bánh, P.11, Q.PN","244/23a Huỳnh Văn Bánh, P.11, Q.PN",ADDRESS
1069,Ngày/ giờ vào:,Ngày/ giờ vào:,TIMESTAMP
1070,05.10.2020 09.11,05.10.2020 09.11,TIMESTAMP
1071,Tiên Thanh Toán:,Tiên Thanh Toán,TOTAL_COST
1072,39 000,39 000,TOTAL_COST
1073,PHÔ MÒI,PHỐ MỎ,SELLER
1074,Tổ 7 khu Tân Lập 4 - P.Cẩm Thủy Nam,Tổ 7 khu Tân Lập 4 - P.Cẩm Thủy,ADDRESS
1075,Tp. Cẩm Phả - Quảng Ninh Thị,Tp. Cẩm Phả - Quảng Ninh,ADDRESS
1076,13/08 2020-22:06,13/08/2020 - 22:06,TIMESTAMP
1077,Tổng cộng:,Tổng cộng:,TOTAL_COST
1078,"30,000","30,000",TOTAL_COST
1079,Vincommerce,VinCommerce,SELLER
1080,VM4 QNH 600 Trần Phú,VM + QNH 690 Trần Phú,ADDRESS
1081,"Số 590 Trần Phú, P. Cầm Thuy",Số 590 Trần Phú P. Cẩm Thuỷ,ADDRESS
1082,"TP. Cầm Phà, Quảng Ninh","TP. Cẩm Phả, Quảng Ninh",ADDRESS
1083,Ngày bán:15/08/2020 09:54,Ngày bán: 15/08/2020 09:54,TIMESTAMP
1084,TỔNG TIẾN PHẢI T. TOÁN,TỔNG TIỀN PHẢI T.TOÁN,TIMESTAMP
1085,91.674,91.674,TIMESTAMP
1086,SIÊU THỊ MINH LOAN,SIỀU THỊ MINH LOAN,SELLER
1087,Thành TT101 CC 12 Tầng - Ngõ 25 Vũ Ngọc Phan,TT101 CC 12 Tầng - Ngõ 25 Vũ Ngọc Phan,ADDRESS
1088,Ngày:,Ngày:,TIMESTAMP
1089,28/06/2020 20:59:17,28/06/2020 20:59:17,TIMESTAMP
1090,"188,350","188,350",TOTAL_COST
1091,Tổng tiền (VND):,Tổng tiền (VND),TOTAL_COST
1092,MINIMART ANAN,MINIMART ANAN,SELLER
1093,Chợ Sùi Phú Thị Gia Lâm,Chợ Sủi Phú Thị Gia Lâm,ADDRESS
1094,Ngày: 16/08/2020-14:43,Ngày: 16/08/2020 - 14:43,TIMESTAMP
1095,"65,000","65,000",TOTAL_COST
1096,Tổng cộng,Tổng cộng,TOTAL_COST
1097,TÊN ĐAI LÝ:,TÊN ĐẠI LÝ:,SELLER
1098,Địa CHỈ,Dia Chi,ADDRESS
1099,"""TỔ 8 KHU 38,P.CẦN TRUNG,1 THUY","Tổ 8 KHU 3B, P.CAM TRUNG",ADDRESS
1100,NGÀY: 12/08/2020,NGÀY : 12/08/2020,TIMESTAMP
1101,1.620.000 ĐỘ,620.000 Đ,TOTAL_COST
1102,MINIMART ANAN,MINIMART ANAN,SELLER
1103,Chợ Sủi Phú Thị Gia Lâm,Chợ Sủi Phú Thị Gia Lâm,ADDRESS
1104,Ngày: 16/08/2020-09:38,Ngày: 16/08/2020-09:38,TIMESTAMP
1105,Tổng tiền:,Tổng tiền,TOTAL_COST
1106,"222,000","222,000",TOTAL_COST
1107,LOTTERIA,LOTTERIA,SELLER
1108,09/08/2020,09/08/2020,TIMESTAMP
1109,15:51,15:51,TIMESTAMP
1110,Tong cong((-VAT),Tong cong (+VAT),TOTAL_COST
1111,"27,000","27,000 27,000",TOTAL_COST
1112,PHÓ MÔI,PHO MO,SELLER
1113,Tổ 7 khu Tân Lập 4 - P.Cẩm Thúy Nam,Tổ 7 Khu Tân Lập 4-P.Cẩm Thủy,ADDRESS
1114,Tp. Cẩm Phả - Quảng Ninh,Tp Cẩm Phả - Quảng Ninh,ADDRESS
1115,0970B/2020-22 00,09/08/2020 22:00,TIMESTAMP
1116,Tổng cộng:,Tổng cộng:,TOTAL_COST
1117,"45,000","45,000",TOTAL_COST
1118,Vincommerce,VinCommerce,SELLER
1119,VM% QNH Tỏ 8 Khu 3B Cầm Trung,VM+ QNH Tổ 8 Khu 3B Cẩm Trung,ADDRESS
1120,"Tổ 8, Khu 3B, P. Cầm Trung","Tổ 8, Khu 3B P.Cẩm Trung",ADDRESS
1121,"TP. Câm Phà, T. Quảng Ninh","TP.Cẩm Phả, T.Quảng Ninh",ADDRESS
1122,Ngày bán:12/08/2020 18:20,Ngày bán: 12/08/2020 18:20,TIMESTAMP
1123,TỔNG TIẾN PHẢI T. TOÁN,TỔNG TIỀN PHẢI T.TOÁN,TOTAL_COST
1124,18.000,18.000,TOTAL_COST
1125,MINIMART ANAN,MINIMART ANAN,SELLER
1126,Chợ Sủi Phu Thị Gia Lâm,Chợ Sủi Phú Thị Gia Lâm,ADDRESS
1127,Ngày: 11/08/2020-08:06,Ngày : 11/08/2020 08:06,TIMESTAMP
1128,Tổng tiền:,Tổng tiền:,TOTAL_COST
1129,"74,000","74,000",TOTAL_COST
1130,TRỊ CỬA HÀNG NĂM OÁNH,CỬA HÀNG NĂM OÁNH,SELLER
1131,"Thôn Phú Thuy, Xã Phú Thị, Huyện Gia Lâm, TP Hà Nội","Thôn Phú Thuỵ, Xã Phú Thị, Huyện Gia Lâm, TP Hà Nội",ADDRESS
1132,11 Ngày: 11-08-2020,Ngày: 11-08-2020,TIMESTAMP
1133,Cộng tiến hàng,Cộng tiền hàng,TOTAL_COST
1134,"45,000","45,000",TOTAL_COST
1135,MINIMART ANAN,MINIMART ANAN,SELLER
1136,Chợ Sủi Phú Thị Gia Lâm,Chợ Sủi Phú Thị Gia Lâm,ADDRESS
1137,Ngày: 12/08/2020-12:42,Ngày: 12/08/2020 - 12:42,TIMESTAMP
1138,Tổng cộng:,Tổng cộng :,TOTAL_COST
1139,"81,000","81,000",TOTAL_COST
1140,trống thanh toán,Tổng thanh toán,TOTAL_COST
1141,Tổng thanh toán,Tổng thanh toán,TOTAL_COST
1142,80.000,80.000đ,TOTAL_COST
1143,Ngày: 10/08/2020 (08:01 CHP 08:01 CH),Ngày: 10/08/2020 (08:01 CH - 08:01 CH),TIMESTAMP
1144,SCTC CÔ THỎ 104 TRẦN PHÚ - CẨM,SCTC cổ THỎ 104 TRẦN PHÚ - CẨM,SELLER
1145,PHÁ,PHẢ,SELLER
1146,"104 Trần Phú - phường Cầm Tây, Thành phố Cẩm",104 Trần Phú phường Cẩm Tây Thành phố Cẩm,ADDRESS
1147,Phá - Quảng Ninh,Phả Quảng Ninh,ADDRESS
1148,Vincommerce,VinCommerce,SELLER
1149,VM% QNH 1060-1062 Trần Phú,VM+QNH 106041062 Trần Phú,ADDRESS
1150,Và Số 1060-1062 Đương Trần Phúc,Số 10604082 Đường Trần Phú,ADDRESS
1151,"TP. Câm Phà, Quảng Ninh Thị","TP. Cẩm Phả, Quảng Ninh",ADDRESS
1152,Ngày bán: 15/08/2020 11:04,Ngày bán: 15/08/2020 11:04,TIMESTAMP
1153,TỔNG TIỀN PHẢI T. TOÁN,TỔNG TIỀN PHẢI T.TOÁN,TOTAL_COST
1154,25.600,25.600,TOTAL_COST
1155,MINIMART ANAN,MINIMART ANAN,SELLER
1156,Chợ Súi Phú Thị Gia Lâm,Chợ Sủi Phú Thị Gia Lâm,ADDRESS
1157,Ngày: 16/08/2020-17:36,Ngày: 16/08/2020 - 17:38,TIMESTAMP
1158,Tổng cộng,Tổng cộng :,TOTAL_COST
1159,"118,000","118,000",TOTAL_COST
1160,NHÀ SÁCHGD-TC CẨM PHẢ,NHÀ SÁCH GD-TC CẨM PHẢ,SELLER
1161,Đc: 212 Đương Trán Phú-Cẩm Phả,ĐC: 212 Đường Trần Phú-Cẩm Phả,ADDRESS
1162,Tổng số thanh toán:,Tổng số thanh toán,TOTAL_COST
1163,22.000d,22.000đ,TOTAL_COST
1164,CỬA HÀNG NĂM OÁNH,CỬA HÀNG NĂM OÁNH,SELLER
1165,"Thón Phú Thuy, Xã Phú Thị, Huyện Gin Lâm, TP Hà Nội","Thôn Phú Thuỵ, Xã Phú Thị, Huyện Gia Lâm, TP Hà Nội",ADDRESS
1166,Ngày: 12-08-2020,Ngày: 12-08-2020,TIMESTAMP
1167,Cộng tiền hàng,Cộng tiền hàng,TOTAL_COST
1168,"82,000","82,000",TOTAL_COST
1169,Tổng giá gốc,Tổng giá giá góc,TOTAL_COST
1170,"510,000","510,000",TOTAL_COST
1171,Vgày:,Ngày,TIMESTAMP
1172,19-05-2018 16:16:53,19-05-2018 16:16:53,TIMESTAMP
1173,Y09 - 336 Võ Văn Ngân Q.TD,V09 - 336 Võ Văn Ngân Q TD,SELLER
1174,Y09 - 336 Vô Văn Ngân Q.TD,Y09 -336 Vô Văn Ngân Q.TD,ADDRESS
1175,Vincommerce,VinCommerce,SELLER
1176,VM% QNH Dư án KDC lấn biên cọc 6,VM+QNH Dự án KDC lấn biển cọc 6,ADDRESS
1177,"DA khu ocL3 cọc 6, P. Câm Sơn Thuận","DA khu DCLB coc 6, P. Cẩm Sơn",ADDRESS
1178,"TP. Câm Phà, T. Quảng Ninh","TP. Cẩm Phả, T.Quảng Ninh",ADDRESS
1179,Ngày bán:14/08/2020 17:33,Ngày bán: 14/08/2020 17:33,TIMESTAMP
1180,TỔNG TIỀN PHẢI T. TOÁN,TÔNG TIẾN PHẢI T.TOÁN,TOTAL_COST
1181,230.567,"230,567",TOTAL_COST
1182,Vincommerce,VinCommerce,SELLER
1183,VM% QNH 1060-1062 Trần Phú,VM+QNH 1060-1062 Trần Phú,ADDRESS
1184,Số 1080-1062 Đường Trần Phú,Số 10604082 Đường Trần Phú,ADDRESS
1185,"TP. Càm Phà, Quảng Ninh","TP.Cẩm Phả, Quảng Ninh",ADDRESS
1186,Ngày bán: 15/08/2020 07:20,Ngày bán: 15/08/2020 07:20,TIMESTAMP
1187,TỔNG TIỀN PHẢI T. TOÁN,TỔNG TIỀN PHẢI T.TOÁN,TOTAL_COST
1188,200.000,200.000,TOTAL_COST
1189,CỬA HÀNG NĂM OÁNH,CỮA HÀNG NĂM OÁNH,SELLER
1190,"Thón Phú Thuy, Xã Phú Thị, Huyện Gia Lâm, TP Hà Nội","Thôn Phú Thuỵ, Xã Phú Thị, Huyện Gia Lâm, TP Hà Nội",ADDRESS
1191,Ngày: 11-08-2020,Ngày: 11-08-2020,TIMESTAMP
1192,Cộng tiên hàng,Cộng tiền hàng,TOTAL_COST
1193,"227,000","227,000",TOTAL_COST
1194,MINIMART ANAN,MINIMART ANAN,SELLER
1195,Ngày: 16/08/2020-17:59,Ngày: 16/08/2020-17:59,TIMESTAMP
1196,Và Chợ Sủi Phú Thị Gia Lâm Thị,Chợ Sủi Phú Thị Gia Lâm,ADDRESS
1197,"112,000","112,000",TOTAL_COST
1198,Tổng tiền,Tổng tiền,TOTAL_COST
1199,Vincommerce,VinCommerce,SELLER
1200,VM4 QNH 112 Thanh Niên,VM+QNH 112 Thanh Niên,ADDRESS
1201,"Số 112 Thanh Niên, P. Cầm Thành","Số 112 Thanh Niên, P.Cẩm Thành",ADDRESS
1202,"TP. Cầm Phả, Quảng Ninh","TP. Cẩm Phả, Quảng Ninh",ADDRESS
1203,Ngày bán:13/08/2020 10:11,Ngày bán: 13/08/2020 10:11,TIMESTAMP
1204,TỔNG TIỀN PHẢI T.TOÁN,TỔNG TIỀN PHẢI T.TOÁN,TOTAL_COST
1205,10.000,10.000,TOTAL_COST
1206,Vincommerce,VinCommerce,SELLER
1207,VM% QNH 86 Trần Phú,VM+ QNH 86 Trần Phú,ADDRESS
1208,"Số 38 Đường Trần Phú, P. Cầm Tây","Số 38 Đường Trần Phú, P. Cẩm Tây",ADDRESS
1209,Ngày bán:09/08/2020 10:36,Ngày bán: 09/08/2020 10:36,TIMESTAMP
1210,"TP Cảm Phá, T. Quảng Ninh","TP Cẩm Phả, T.Quảng Ninh",ADDRESS
1211,TỔNG TIẾN PHẢI T. TOÁN,TỔNG TIỀN PHẢI T.TOÁN,TOTAL_COST
1212,60.550,60.550,TOTAL_COST
1213,NHÀ SÁCH GD-TC CẨM PHẢ,NHÀ SÁCH GD-TC CẨM PHẢ,SELLER
1214,Đc: 212 Đường Trần Phú-Cẩm Phả,ĐC: 212 Đường Trần Phú-Cẩm Phả,ADDRESS
1215,Thời gian:20:48:26 - 14/08/2020,Thời gian: 20:48:26 - 14/08/2020,TIMESTAMP
1216,- Tổng số thanh toán: trị,Tổng số thanh toán,TOTAL_COST
1217,104.000,"104,000d",TOTAL_COST
1218,Vincommerce,VinCommerce,SELLER
1219,VM% ONH 1060-1062 Trần Phú,VM+QNH 10604062 Trần Phú,ADDRESS
1220,Số 1060-1062 Đường Trần Phú,Số 10604062 Duong Trần Phú,ADDRESS
1221,"TP. Càm Phà, Quảng Ninh","TP. Cẩm Phả, Quảng Ninh",ADDRESS
1222,Ngày bán: 12/08/2020 19:35,Ngày bán: 12/08/2020 19:35,TIMESTAMP
1223,TỔNG TIỀN PHẢI T. TOÁN THỊ,TỔNG TIỀN PHẢI T.TOÁN,TOTAL_COST
1224,81.500,81.500,TOTAL_COST
1225,MINIMART ANAN,MINIMART ANAN,SELLER
1226,Chợ Sủi Phú Thị Gia Lám,Chợ Sủi Phú Thị Gia Lâm,ADDRESS
1227,Ngày: 12/08/2020-13:24,Ngày: 12/08/2020 - 13:24,TIMESTAMP
1228,Tổng cộng:,Tổng cộng :,TOTAL_COST
1229,"47,000","47,000",TOTAL_COST
1230,Vincommerce,VinCommerce,SELLER
1231,"VIN% ONH T87, Khu Minh Tiến Á","VM+ CNH Tổ 7, Khu Minh Tiến A",ADDRESS
1232,"T67, Khu Minh Tiền A",Toor 7.Khu Minh Tiến A,ADDRESS
1233,"P. Cầm Bình, TP. Cảm Pha, OIH","P.Cẩm Bình, TP. Cẩm Phả, QNH",ADDRESS
1234,Ngày bán: 13/08/2020 20:04,Ngày bán: 13/08/2020 20:04,TIMESTAMP
1235,TỔNG TIỀN PHẢI T. TOÁN,TỔNG TIỀN PHẢI T.TOÁN,TOTAL_COST
1236,9.500,9.500,TOTAL_COST
1237,SIÊU THỊ MINH LOAN,SIÊU THỊ MINH LOAN,SELLER
1238,TT101 CC 12 Tăng Ngô 25 Vũ Ngọc Phan,TT 101 CC 12 Tầng Ngõ 25 Vũ Ngọc Phan,ADDRESS
1239,Ngày:,Ngày,TIMESTAMP
1240,01/08/2020124128,01/08/2020 12:4128,TIMESTAMP
1241,Tổng tiền (VND):,Tổng tiền (VND),TOTAL_COST
1242,"168,500","168,500",TOTAL_COST
1243,PHÓ MÔ,PHỐ MỎ,SELLER
1244,1981 Tô 7 Khu Tân Lập 4 - P. Cầm Thủy Nam,Tổ 7 khu Tân Lập 4 - P.Cẩm Thuỷ,ADDRESS
1245,Tp. Cẩm Phả - Quảng Ninh,Tp Cẩm Phả - Quảng Ninh,ADDRESS
1246,13/0872020 - 20.05,13/08/2020 - 20 05,TIMESTAMP
1247,Tổng cộng:,Tổng cộng:,TOTAL_COST
1248,"82,000","82,000",TOTAL_COST
1249,CỬA HÀNG NĂM OÁNH,CỬA HÀNG NĂM OÁNH,SELLER
1250,"Thôn Phú Thuy, Xã Phủ Thị, Huyện Gia Lâm, TP Hà Nội","Thôn Phú Thụy, Xã Phú Thị, Huyện Gia Lâm, TP Hà Nội",ADDRESS
1251,Ngày: 11-08-2020,Ngày: 11-08-2020,TIMESTAMP
1252,Cộng tiền hàng,Cộng tiền hàng,TOTAL_COST
1253,"54,000","54,000",TOTAL_COST
1254,Vincommerce,VinCommerce,SELLER
1255,VM% QNH Dư án KDC lần biên coc 6,VN + QNH Dự án KDC lấn biến cọc 6,ADDRESS
1256,"DA khu DCLB cọc 6, P. Cảm Sơn","DA khu DCLB cọc 6,P.Cẩm Sơn",ADDRESS
1257,"TP. Câm Phá, T. Quảng Ninh","TP. Cẩm Phả, T.Quảng Ninh",ADDRESS
1258,Ngày bán:14/08/2020,Ngày bán: 14/08/2020 21:43,TIMESTAMP
1259,TỔNG TIỀN PHẢI T. TOÁN,TỔNG TIỀN PHẢI T.TOÁN,TOTAL_COST
1260,10.000,10.000 10.000,TOTAL_COST
1261,Chợ Sủi Phú Thị Gia Lâm,Chợ Sủi Phú Thị Gia Lam,ADDRESS
1262,Ngày: 11/08/2020-17:57,Ngày: 11/08/2020 - 17:57,TIMESTAMP
1263,Tổng tiền:,Tổng tiền:,TOTAL_COST
1264,"345,000","345,000",TOTAL_COST
1265,NGÀY KINH DOANH: 09/08/2020,NGÀY KINH DOANH : 09/08/2020,TIMESTAMP
1266,Tổng thanh toán,Tổng thanh toán,TOTAL_COST
1267,8.994.348,8.994.348,TOTAL_COST
1268,Vincommerce,VinCommerce,SELLER
1269,"VM% QNH Tố 7, Khu Minh Tiến A","VM+ QNH Tổ 7, khu Minh Tiến A",ADDRESS
1270,"Tỏ 7, Khu Minh Tiến Ả","Tổ 7, Khu Minh Tiến A",ADDRESS
1271,"P. Cầm Bình, TP. Cảm Pha, QNH","P. Cẩm Bình, TP. Cẩm Phả, QNH",ADDRESS
1272,Ngày bán:14/08/2020 16:22,Ngày bán: 14/08/2020 16:22,TIMESTAMP
1273,TỔNG TIẾN PHẢI T.TOÁN,TỔNG TIỀN PHẢI T.TOÁN,TOTAL_COST
1274,52.700,52.700,TOTAL_COST
1275,MINIMART ANAN,MINIMART ANAN,SELLER
1276,Chợ Sủi Phú Thị Gia Lâm,Chợ Sủi Phú Thị Gia Lâm,ADDRESS
1277,Ngày: 16/08/2020-17.29,Ngày : 16/08/2020 - 17:29,TIMESTAMP
1278,"34,000","34,000",TOTAL_COST
1279,Tổng cộng,Tổng cộng cộng,TOTAL_COST
1280,Saigon Co.op,Saiigono Co.op,SELLER
1281,Co.0p Food HN THE K-PARK,Co.op Food HN THE K-PARK,SELLER
1282,"P. Phu La, 0. Ha Dong, Tp Ha Noi","P. Phu La, Q. Ha Dong, Tp Ha Noi",ADDRESS
1283,Ngay: 19/09/2019 10:14:04,Ngày: 19/09/2019 18:14:44,TIMESTAMP
1284,"25,200.00","25,200.00",TOTAL_COST
1285,tai khu do thi moi van phu,"tai Khu do thi moi Van Phu,",ADDRESS
1286,Tong so tien thanh toan:,Tong so tien thanh toan:,TOTAL_COST
1287,Vincommerce,VinCommerce,SELLER
1288,VM% QNH 112 Thanh Niên,VM+ QNH 112 Thanh Niên,ADDRESS
1289,"Số 112 Thanh Niên, P. Cẩm Thành","Số 112 Thanh Niên, P. Cẩm Thành",ADDRESS
1290,"TP. Càm Phả, Quảng Ninh","TP. Cẩm Phả, Quảng Ninh",ADDRESS
1291,Ngày bán:11/08/2020 17:22,Ngày bán: 11/08/2020 17:22,TIMESTAMP
1292,TỔNG TIẾN PHẢI T. TOÁN,TỔNG TIỀN PHẢI T.TOÁN,TOTAL_COST
1293,119.700,119.700,TOTAL_COST
1294,NHÀ SÁCH GD-TC CẨM PHẢ,NHÀ SÁCH GD-TC CẨM PHẢ,SELLER
1295,Đc: 212 Đường Trần Phú-Cẩm Phả,ĐC: 212 Đường Trần Phú-Cẩm Phả,ADDRESS
1296,Thời gian:08:04:13 - 14/08/2020,Thời gian: 08:04:13 - 14/08/2020,TIMESTAMP
1297,Tổng số thanh toán:,Tổng số thanh toán,TOTAL_COST
1298,-11.0008,111.000đ,TOTAL_COST
1299,SCTC CÓ THỎ 104 TRẦN PHÚ - CẤM,SCTC CÔ THỒ 104 TRẦN PHÚ - CẨM,SELLER
1300,PHẢ,PHẢ,SELLER
1301,104 Trăn Phú - phường Cấm Tây Thành phố Cấm,"104 Trần Phú, phường Cẩm Tây, Thành phố Cẩm",ADDRESS
1302,Phả - Quảng Ninh,Phả - Quảng Ninh,ADDRESS
1303,Ngày: 08/0B/2020 (08 26 CH 08.26 CH),Ngày: 08/08/2020 (08:26 CH - 08:26 CH),TIMESTAMP
1304,Tổng thanh toán,Tổng thanh toán,TOTAL_COST
1305,45.000d,45.000đ,TOTAL_COST
1306,MINIMART ANAN,MINIMART ANAN,SELLER
1307,Chợ Sủi Phú Thị Gia Lâm,Chợ Sủi Phú Thị Gia Lâm,ADDRESS
1308,Ngày: 18/08/2020-16:23,Ngày: 16/08/2020-16:23,TIMESTAMP
1309,Tổng tiền:,Tổng tiền :,TOTAL_COST
1310,"111,990","111,990",TOTAL_COST
1311,CỬA HÀNG NĂM OÁNH,CỬA HÀNG NĂM OÁNH,SELLER
1312,"Thôn Phú Tiny, Xã Phú Thị, Huyện Gia Lâm, TP Hà Nội","Thôn Phú Thụy, Xã Phú Thị, Huyện Gia Lâm, TP Hà Nội",ADDRESS
1313,Ngày: 11-08-2020,Ngày: 11-08-2020,TIMESTAMP
1314,"16,500","16,500",TOTAL_COST
1315,MINIMART ANAN,MINIMART ANAN,SELLER
1316,Chợ Sủi Phú Thị Gia Lâm,Chợ Sủi Phú Thị Gia Lâm,ADDRESS
1317,Ngày: 16/08/2020-16:47,Ngày: 16/08/2020 - 16:47,TIMESTAMP
1318,Tổng tiền,Tổng tiền:,TOTAL_COST
1319,CỬA HÀNG NĂM OÁNH,CỬA HÀNG NĂM OÁNH,SELLER
1320,"Thón Phú Thuy, Xã Phú Thị, Huyện Gia Lâm, TP Hà Nội","Thôn Phú Thuỵ, Xã Phú Thị, Huyện Gia Lâm, TP Hà Nội",ADDRESS
1321,Ngày: 12-08-2020,Ngày : 12-08-2020,TIMESTAMP
1322,Cộng tiên hàng,Cộng tiền hàng,TOTAL_COST
1323,"65,500","65,500",TOTAL_COST
